frame,frame_ms,eye_x,eye_y,eye_z,step_m,yaw_step_deg,visual_error_m,body_x,body_z
135,5.3510,-0.55340,1.04083,0.00796,0.000000,0.31055,0.00000,-0.55340,0.00796
136,8.4310,-0.51612,1.04083,0.05915,0.063333,0.31046,0.00000,-0.51612,0.05915
137,5.3570,-0.51612,1.04083,0.05915,0.000000,0.31050,0.00000,-0.51612,0.05915
138,8.4610,-0.47883,1.04083,0.11035,0.063333,0.31050,0.00000,-0.47883,0.11035
139,5.3450,-0.47883,1.04083,0.11035,0.000000,0.31054,0.00000,-0.47883,0.11035
140,6.9270,-0.47883,1.04083,0.11035,0.000000,0.31046,0.00000,-0.47883,0.11035
141,8.3410,-0.44154,1.04083,0.16154,0.063333,0.31055,0.00000,-0.44154,0.16154
142,5.4960,-0.44154,1.04083,0.16154,0.000000,0.31046,0.00000,-0.44154,0.16154
143,8.2780,-0.40425,1.04083,0.21273,0.063333,0.31050,0.00000,-0.40425,0.21273
144,5.4590,-0.40425,1.04083,0.21273,0.000000,0.31050,0.00000,-0.40425,0.21273
145,6.9010,-0.40425,1.04083,0.21273,0.000000,0.31050,0.00000,-0.40425,0.21273
146,8.4460,-0.36696,1.04083,0.26392,0.063333,0.31050,0.00000,-0.36696,0.26392
147,5.3520,-0.36696,1.04083,0.26392,0.000000,0.31055,0.00000,-0.36696,0.26392
148,8.4170,-0.32968,1.04083,0.31512,0.063333,0.31046,0.00000,-0.32968,0.31512
149,5.4070,-0.32968,1.04083,0.31512,0.000000,0.31054,0.00000,-0.32968,0.31512
150,6.8920,-0.32968,1.04083,0.31512,0.000000,0.31050,0.00000,-0.32968,0.31512
151,8.4160,-0.29239,1.04083,0.36631,0.063333,0.31046,0.00000,-0.29239,0.36631
152,5.3700,-0.29239,1.04083,0.36631,0.000000,0.31050,0.00000,-0.29239,0.36631
153,8.5180,-0.25510,1.04083,0.41750,0.063333,0.31050,0.00000,-0.25510,0.41750
154,7.2800,-0.25510,1.04083,0.41750,0.000000,0.31059,0.00000,-0.25510,0.41750
155,6.4720,-0.21781,1.04083,0.46870,0.063333,0.31046,0.00000,-0.21781,0.46870
156,5.3210,-0.21781,1.04083,0.46870,0.000000,0.31050,0.00000,-0.21781,0.46870
157,6.9810,-0.21781,1.04083,0.46870,0.000000,0.31046,0.00000,-0.21781,0.46870
158,8.3240,-0.18052,1.04083,0.51989,0.063333,0.31050,0.00000,-0.18052,0.51989
159,5.4040,-0.18052,1.04083,0.51989,0.000000,0.31050,0.00000,-0.18052,0.51989
160,8.3580,-0.14324,1.04083,0.57108,0.063333,0.31055,0.00000,-0.14324,0.57108
161,5.4340,-0.14324,1.04083,0.57108,0.000000,0.31046,0.00000,-0.14324,0.57108
162,6.9240,-0.14324,1.04083,0.57108,0.000000,0.31050,0.00000,-0.14324,0.57108
163,8.3400,-0.10595,1.04083,0.62228,0.063333,0.31046,0.00000,-0.10595,0.62228
164,5.4780,-0.10595,1.04083,0.62228,0.000000,0.31055,0.00000,-0.10595,0.62228
165,8.3290,-0.06866,1.04083,0.67347,0.063333,0.31050,0.00000,-0.06866,0.67347
166,5.4370,-0.06866,1.04083,0.67347,0.000000,0.31054,0.00000,-0.06866,0.67347
167,8.3480,-0.03137,1.04083,0.72466,0.063333,0.31045,0.00000,-0.03137,0.72466
168,5.4690,-0.03137,1.04083,0.72466,0.000000,0.31050,0.00000,-0.03137,0.72466
169,6.9050,-0.03137,1.04083,0.72466,0.000000,0.31054,0.00000,-0.03137,0.72466
170,8.3690,0.00592,1.04083,0.77585,0.063333,0.31050,0.00000,0.00592,0.77585
171,5.4210,0.00592,1.04083,0.77585,0.000000,0.31045,0.00000,0.00592,0.77585
172,8.3710,0.04320,1.04083,0.82705,0.063333,0.31050,0.00000,0.04320,0.82705
173,5.4100,0.04320,1.04083,0.82705,0.000000,0.31051,0.00000,0.04320,0.82705
174,6.9140,0.04320,1.04083,0.82705,0.000000,0.31045,0.00000,0.04320,0.82705
175,8.4350,0.08049,1.04083,0.87824,0.063333,0.31059,0.00000,0.08049,0.87824
176,5.3640,0.08049,1.04083,0.87824,0.000000,0.31046,0.00000,0.08049,0.87824
177,8.4100,0.11778,1.04083,0.92943,0.063333,0.31055,0.00000,0.11778,0.92943
178,5.3830,0.11778,1.04083,0.92943,0.000000,0.31050,0.00000,0.11778,0.92943
179,6.8820,0.11778,1.04083,0.92943,0.000000,0.31044,0.00000,0.11778,0.92943
180,8.4250,0.15507,1.04083,0.98063,0.063333,0.31051,0.00000,0.15507,0.98063
181,5.3960,0.15507,1.04083,0.98063,0.000000,0.31050,0.00000,0.15507,0.98063
182,8.3080,0.19236,1.04083,1.03182,0.063333,0.31049,0.00000,0.19236,1.03182
183,7.2280,0.19236,1.04083,1.03182,0.000000,0.31050,0.00000,0.19236,1.03182
184,6.7060,0.22964,1.04083,1.08301,0.063333,0.31049,0.00000,0.22964,1.08301
185,5.3570,0.22964,1.04083,1.08301,0.000000,0.31051,0.00000,0.22964,1.08301
186,6.8840,0.22964,1.04083,1.08301,0.000000,0.31050,0.00000,0.22964,1.08301
187,8.3370,0.26693,1.04083,1.13421,0.063333,0.31045,0.00000,0.26693,1.13421
188,5.4760,0.26693,1.04083,1.13421,0.000000,0.31050,0.00000,0.26693,1.13421
189,8.3780,0.30422,1.04083,1.18540,0.063333,0.31054,0.00000,0.30422,1.18540
190,5.4220,0.30422,1.04083,1.18540,0.000000,0.31050,0.00000,0.30422,1.18540
191,6.9240,0.30422,1.04083,1.18540,0.000000,0.31050,0.00000,0.30422,1.18540
192,8.3150,0.34151,1.04083,1.23659,0.063333,0.31055,0.00000,0.34151,1.23659
193,5.4500,0.34151,1.04083,1.23659,0.000000,0.31046,0.00000,0.34151,1.23659
194,8.2890,0.37880,1.04083,1.28778,0.063333,0.31050,0.00000,0.37880,1.28778
195,5.5310,0.37880,1.04083,1.28778,0.000000,0.31046,0.00000,0.37880,1.28778
196,8.3620,0.41608,1.04083,1.33898,0.063333,0.31054,0.00000,0.41608,1.33898
197,5.4310,0.41608,1.04083,1.33898,0.000000,0.31046,0.00000,0.41608,1.33898
198,6.9210,0.41608,1.04083,1.33898,0.000000,0.31055,0.00000,0.41608,1.33898
199,8.3580,0.45337,1.04083,1.39017,0.063333,0.31050,0.00000,0.45337,1.39017
200,5.4090,0.45337,1.04083,1.39017,0.000000,0.31049,0.00000,0.45337,1.39017
201,8.3190,0.49066,1.04083,1.44136,0.063333,0.31051,0.00000,0.49066,1.44136
202,5.5960,0.49066,1.04083,1.44136,0.000000,0.31049,0.00000,0.49066,1.44136
203,6.7990,0.49066,1.04083,1.44136,0.000000,0.31051,0.00000,0.49066,1.44136
204,8.3770,0.52795,1.04083,1.49256,0.063333,0.31049,0.00000,0.52795,1.49256
205,5.4280,0.52795,1.04083,1.49256,0.000000,0.31055,0.00000,0.52795,1.49256
206,8.3490,0.56524,1.04083,1.54375,0.063333,0.31046,0.00000,0.56524,1.54375
207,5.4330,0.56524,1.04083,1.54375,0.000000,0.31055,0.00000,0.56524,1.54375
208,8.5000,0.60252,1.04083,1.59494,0.063333,0.31046,0.00000,0.60252,1.59494
209,5.3080,0.60252,1.04083,1.59494,0.000000,0.31049,0.00000,0.60252,1.59494
210,6.9020,0.60252,1.04083,1.59494,0.000000,0.31050,0.00000,0.60252,1.59494
211,8.4050,0.63981,1.04083,1.64614,0.063333,0.31050,0.00000,0.63981,1.64614
212,7.2830,0.63981,1.04083,1.64614,0.000000,0.31050,0.00000,0.63981,1.64614
213,6.4350,0.67710,1.04083,1.69733,0.063333,0.31050,0.00000,0.67710,1.69733
214,5.4500,0.67710,1.04083,1.69733,0.000000,0.31046,0.00000,0.67710,1.69733
215,6.9380,0.67710,1.04083,1.69733,0.000000,0.31050,0.00000,0.67710,1.69733
216,8.4040,0.71439,1.04083,1.74852,0.063333,0.31055,0.00000,0.71439,1.74852
217,5.4360,0.71439,1.04083,1.74852,0.000000,0.31049,0.00000,0.71439,1.74852
218,8.1270,0.75168,1.04083,1.79971,0.063333,0.31046,0.00000,0.75168,1.79971
219,5.5980,0.75168,1.04083,1.79971,0.000000,0.31050,0.00000,0.75168,1.79971
220,6.8930,0.75168,1.04083,1.79971,0.000000,0.31050,0.00000,0.75168,1.79971
221,8.0790,0.78896,1.04083,1.85091,0.063333,0.31050,0.00000,0.78896,1.85091
222,5.7180,0.78896,1.04083,1.85091,0.000000,0.31050,0.00000,0.78896,1.85091
223,8.1250,0.82625,1.04083,1.90210,0.063333,0.31049,0.00000,0.82625,1.90210
224,5.6780,0.82625,1.04083,1.90210,0.000000,0.31051,0.00000,0.82625,1.90210
225,8.1450,0.86354,1.04083,1.95329,0.063333,0.31049,0.00000,0.86354,1.95329
226,5.6600,0.86354,1.04083,1.95329,0.000000,0.31050,0.00000,0.86354,1.95329
227,6.9000,0.86354,1.04083,1.95329,0.000000,0.31050,0.00000,0.86354,1.95329
228,8.1360,0.90083,1.04083,2.00449,0.063333,0.31050,0.00000,0.90083,2.00449
229,5.6450,0.90083,1.04083,2.00449,0.000000,0.31050,0.00000,0.90083,2.00449
230,8.1390,0.93812,1.04083,2.05568,0.063333,0.31050,0.00000,0.93812,2.05568
231,5.6780,0.93812,1.04083,2.05568,0.000000,0.31055,0.00000,0.93812,2.05568
232,6.9640,0.93812,1.04083,2.05568,0.000000,0.31045,0.00000,0.93812,2.05568
233,8.4120,0.97540,1.04083,2.10687,0.063333,0.31050,0.00000,0.97540,2.10687
234,5.3270,0.97540,1.04083,2.10687,0.000000,0.31055,0.00000,0.97540,2.10687
235,8.2480,1.01269,1.04083,2.15807,0.063333,0.31046,0.00000,1.01269,2.15807
236,5.5870,1.01269,1.04083,2.15807,0.000000,0.31055,0.00000,1.01269,2.15807
237,8.1780,1.04998,1.04083,2.20926,0.063333,0.31046,0.00000,1.04998,2.20926
238,5.6030,1.04998,1.04083,2.20926,0.000000,0.31049,0.00000,1.04998,2.20926
239,6.8830,1.04998,1.04083,2.20926,0.000000,0.31050,0.00000,1.04998,2.20926
240,8.1340,1.08727,1.04083,2.26045,0.063333,0.31050,0.00000,1.08727,2.26045
241,7.3670,1.08727,1.04083,2.26045,0.000000,0.31050,0.00000,1.08727,2.26045
242,6.4420,1.12456,1.04083,2.31164,0.063333,0.31050,0.00000,1.12456,2.31164
243,5.6580,1.12456,1.04083,2.31164,0.000000,0.31050,0.00000,1.12456,2.31164
244,6.9050,1.12456,1.04083,2.31164,0.000000,0.31049,0.00000,1.12456,2.31164
245,8.1410,1.16184,1.04083,2.36284,0.063333,0.31051,0.00000,1.16184,2.36284
246,5.6550,1.16184,1.04083,2.36284,0.000000,0.31049,0.00000,1.16184,2.36284
247,8.1480,1.19913,1.04083,2.41403,0.063333,0.31050,0.00000,1.19913,2.41403
248,5.6540,1.19913,1.04083,2.41403,0.000000,0.31050,0.00000,1.19913,2.41403
249,6.8890,1.19913,1.04083,2.41403,0.000000,0.31050,0.00000,1.19913,2.41403
250,8.2520,1.23642,1.04083,2.46522,0.063333,0.31050,0.00000,1.23642,2.46522
251,5.5610,1.23642,1.04083,2.46522,0.000000,0.31049,0.00000,1.23642,2.46522
252,8.1060,1.27371,1.04083,2.51642,0.063333,0.31051,0.00000,1.27371,2.51642
253,5.6860,1.27371,1.04083,2.51642,0.000000,0.31049,0.00000,1.27371,2.51642
254,8.0820,1.31100,1.04083,2.56761,0.063333,0.31050,0.00000,1.31100,2.56761
255,5.7300,1.31100,1.04083,2.56761,0.000000,0.31050,0.00000,1.31100,2.56761
256,6.8900,1.31100,1.04083,2.56761,0.000000,0.31050,0.00000,1.31100,2.56761
257,8.0320,1.34828,1.04083,2.61880,0.063333,0.31050,0.00000,1.34828,2.61880
258,5.7640,1.34828,1.04083,2.61880,0.000000,0.31050,0.00000,1.34828,2.61880
259,8.1470,1.38557,1.04083,2.67000,0.063333,0.31049,0.00000,1.38557,2.67000
260,5.6580,1.38557,1.04083,2.67000,0.000000,0.31050,0.00000,1.38557,2.67000
261,6.9020,1.38557,1.04083,2.67000,0.000000,0.31050,0.00000,1.38557,2.67000
262,8.2280,1.42286,1.04083,2.72119,0.063333,0.31050,0.00000,1.42286,2.72119
263,5.5690,1.42286,1.04083,2.72119,0.000000,0.31050,0.00000,1.42286,2.72119
264,8.1100,1.46015,1.04083,2.77238,0.063333,0.31049,0.00000,1.46015,2.77238
265,5.6880,1.46015,1.04083,2.77238,0.000000,0.31051,0.00000,1.46015,2.77238
266,8.1220,1.49744,1.04083,2.82357,0.063333,0.31049,0.00000,1.49744,2.82357
267,5.6800,1.49744,1.04083,2.82357,0.000000,0.31051,0.00000,1.49744,2.82357
268,6.9050,1.49744,1.04083,2.82357,0.000000,0.31049,0.00000,1.49744,2.82357
269,8.1160,1.53472,1.04083,2.87477,0.063333,0.31050,0.00000,1.53472,2.87477
270,7.4530,1.53472,1.04083,2.87477,0.000000,0.31050,0.00000,1.53472,2.87477
271,6.3440,1.57201,1.04083,2.92596,0.063333,0.31050,0.00000,1.57201,2.92596
272,5.6820,1.57201,1.04083,2.92596,0.000000,0.31049,0.00000,1.57201,2.92596
273,6.9060,1.57201,1.04083,2.92596,0.000000,0.31050,0.00000,1.57201,2.92596
274,8.2330,1.60930,1.04083,2.97715,0.063333,0.31051,0.00000,1.60930,2.97715
275,5.5610,1.60930,1.04083,2.97715,0.000000,0.31049,0.00000,1.60930,2.97715
276,8.3560,1.64659,1.04083,3.02835,0.063333,0.31050,0.00000,1.64659,3.02835
277,5.4730,1.64659,1.04083,3.02835,0.000000,0.31050,0.00000,1.64659,3.02835
278,6.8640,1.64659,1.04083,3.02835,0.000000,0.31049,0.00000,1.64659,3.02835
279,8.3020,1.68027,1.04083,3.07593,0.058294,0.31050,0.00000,1.68027,3.07593
280,5.5250,1.68027,1.04083,3.07593,0.000000,0.31051,0.00000,1.68027,3.07593
